number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
21,268.0772670778817,2026-03-14 17:52:09.586766,2026-03-14 17:52:14.079738,0 days 00:00:04.492972,0.8395780201330864,0.03583064199436384,0.0051290091421211355,5,8,3906,0.0024283610652126725,7.852743866246386e-08,0.7785712246204571,COMPLETE
22,267.21618552709765,2026-03-14 17:52:14.088812,2026-03-14 17:52:16.480098,0 days 00:00:02.391286,0.8417409748104825,0.6826199402062237,0.005165611064104946,5,7,3658,0.0008925976247903838,1.2370653703047672e-07,0.8521057584530323,COMPLETE
23,276.0764354677229,2026-03-14 17:52:16.488684,2026-03-14 17:52:19.833857,0 days 00:00:03.345173,0.8656508735352825,0.02117484871209044,0.007784748980767268,6,10,3729,0.019799670708353923,3.5667562942409986e-06,0.7470341842071964,COMPLETE
24,275.1062942512469,2026-03-14 17:52:19.836363,2026-03-14 17:52:21.222312,0 days 00:00:01.385949,0.7845554939464905,1.416281822269643,0.006302865892711978,4,6,3247,3.230953776777884e-05,3.232038734969076e-08,0.8067780792591638,COMPLETE
25,264.15005990301705,2026-03-14 17:52:21.225319,2026-03-14 17:52:23.243358,0 days 00:00:02.018039,0.93167540761546,0.42279442572384923,0.00504050539044006,5,8,3999,0.007969965281515489,0.00029543470036024654,0.9525231499480773,COMPLETE
26,263.8434867367529,2026-03-14 17:52:23.246358,2026-03-14 17:52:24.972435,0 days 00:00:01.726077,0.9268826253379505,0.4927284340518357,0.007271728496929822,6,9,3647,0.09762643946159641,0.0005624484607196921,0.959424959579486,COMPLETE
27,272.956105762555,2026-03-14 17:52:24.977470,2026-03-14 17:52:26.218736,0 days 00:00:01.241266,0.9225656864335144,0.608165602596,0.008502169359635289,6,11,2588,0.10067134085637824,0.00028417922643500336,0.9630225071834642,COMPLETE
28,285.48838760042156,2026-03-14 17:52:26.220733,2026-03-14 17:52:27.481224,0 days 00:00:01.260491,0.9954096649161297,1.689000252877268,0.006586271873182336,9,9,3269,0.22071626181164317,0.019687148111747568,0.9327072223971015,COMPLETE
29,275.23019809149724,2026-03-14 17:52:27.487801,2026-03-14 17:52:28.884759,0 days 00:00:01.396958,0.96272844037266,0.4056347936145895,0.012344229066792306,7,13,3653,0.361864605016622,0.0026270291695057787,0.8960739575726285,COMPLETE
30,272.8257725612734,2026-03-14 17:52:28.888274,2026-03-14 17:52:29.972616,0 days 00:00:01.084342,0.9162375999587787,1.1792967042178575,0.026066062385659564,6,5,3058,0.010544888708677796,0.00020726511953069677,0.9646768081772032,COMPLETE
